Reference Body,Name,LAN,AOP,SMA,Inclination,Eccentricity,Mass,Radius
Kepler-107,Kepler-107 b,37.2,2.9,679772724.4608,-0.95,0.000000,2.0955355199999997e+23,979440.4
Kepler-107,Kepler-107 c,294.1,5.6,907161487.9248,-0.51,0.000000,5.60707602e+23,1015186.3999999999
Kepler-107,Kepler-107 d,359.3,5.0,1253181362.8539,-2.45,0.000000,2.27016348e+23,550488.4
HR 8799,HR 8799 e,95.7,10.6,245340507947.99997,-65.00,0.150000,1.89813e+26,8364563.999999999
KELT-1,KELT-1 b,171.6,14.3,368908349.1462,-2.20,0.009900,5.16860799e+26,7935612.000000001
Kepler-4,Kepler-4 b,133.9,13.0,682166290.3920001,-0.24,0.000000,1.4615601e+24,2552264.4
Kepler-9,Kepler-9 b,229.8,10.2,2139249551.0099998,-1.02,0.060900,2.5918965150000003e+24,5290408.0
Kepler-9,Kepler-9 c,216.3,6.1,3395871664.8900003,-0.81,0.066910,1.7857607039999998e+24,5154573.2
Kepler-11,Kepler-11 b,71.5,5.0,1361340623.37,-0.36,0.045000,1.138878e+23,1151021.2
Kepler-11,Kepler-11 c,49.2,1.1,1600697216.49,-0.41,0.026000,1.708317e+23,1830195.2
Kepler-11,Kepler-11 d,197.2,8.7,2318766995.85,-0.33,0.004000,4.365699e+23,1987477.6
Kepler-11,Kepler-11 e,105.9,7.6,2917158478.65,-1.11,0.012000,4.745325e+23,2673800.8
Kepler-11,Kepler-11 f,116.6,14.5,3739946767.5,-0.53,0.013000,1.138878e+23,1587122.4
Kepler-11,Kepler-11 g,273.5,7.2,6971260774.620001,-0.13,0.150000,1.4995227e+24,2123312.4
KOI-13,KOI-13 b,291.7,4.0,544685847.2186999,-3.23,0.000640,1.7614646399999997e+26,10809590.4
Kepler-15,Kepler-15 b,229.3,4.6,854802233.1798,-2.56,0.060000,1.2527658e+25,6863232.0
Kepler-16,Kepler-16 b,30.6,5.6,10543657926.935999,0.03,0.006900,6.3207729e+24,5390496.8
Kepler-17,Kepler-17 b,258.1,9.0,387608082.9837,-2.80,0.011000,4.6504185e+25,9365452.0
Kepler-107,Kepler-107 e,355.6,5.2,1890767487.7773001,-0.33,0.000000,5.13633978e+23,1851642.8
Kepler-75,Kepler-75 b,222.8,10.9,1223710582.326,-0.88,0.570000,1.9171113e+26,7506660.0
Kepler-77,Kepler-77 b,247.8,10.0,673340016.0207,-2.00,0.000000,8.161959e+24,6863232.0
