Reference Body,Name,LAN,AOP,SMA,Inclination,Eccentricity,Mass,Radius
HAT-P-42,HAT-P-42 b,224.7,0.7,860187756.5250001,-4.10,0.000000,1.98164772e+25,9150976.0
HAT-P-43,HAT-P-43 b,56.3,6.9,662718567.201,-1.30,0.000000,1.25656206e+25,9158125.2
HAT-P-44,HAT-P-44 b,281.8,6.3,758461204.449,-0.90,0.044000,6.6814176e+24,8879306.4
HAT-P-44,HAT-P-44 c,85.6,3.3,26209546946.64,,0.494000,7.59252e+25,
HAT-P-45,HAT-P-45 b,68.9,3.2,676182375.564,-2.20,0.049000,1.69313196e+25,10194759.2
HAT-P-46,HAT-P-46 b,44.7,2.1,863179713.939,-4.50,0.123000,9.357780899999999e+24,9179572.8
HAT-P-49,HAT-P-49 b,95.3,2.0,,-3.80,0.000000,4.175886e+25,11367228.0
HAT-P-54,HAT-P-54 b,133.6,2.5,615894433.6718999,-2.96,0.074000,1.4425788e+25,6748844.8
HATS-1,HATS-1 b,216.2,12.9,664214545.908,-4.40,0.120000,3.52103115e+25,9308258.4
HATS-2,HATS-2 b,33.2,2.0,344075102.61,-2.80,0.000000,2.55298485e+25,8350265.6
HATS-3,HATS-3 b,163.6,14.1,725549672.895,-3.80,0.000000,2.03289723e+25,9873045.2
HATS-4,HATS-4 b,326.6,2.1,541544291.934,-1.50,0.013000,2.5112259899999997e+25,7292184.0
HATS-5,HATS-5 b,189.1,12.4,810820459.194,-0.70,0.019000,4.4985680999999996e+24,6520070.4
HATS-6,HATS-6 b,148.5,11.5,541993085.5461,-1.79,0.000000,6.0550347e+24,7134901.6
HD 142,HD 142 b,142.4,14.9,15258982811.4,,0.170000,2.3726625e+25,
HD 142,HD 142 c,314.1,13.3,101726552076.0,,0.210000,1.0060089e+26,
HD 564,HD 564 b,129.6,6.7,17951744484.0,,0.096000,6.263829e+24,
HD 1461,HD 1461 b,251.7,12.0,948450500.2379999,,0.172000,3.84561138e+23,
HD 1502,HD 1502 b,238.4,12.6,18879251282.34,,0.031000,5.2198575e+25,
HD 1605,HD 1605 b,283.8,8.7,22320002308.44,,0.095000,1.7728534200000001e+25,
HD 1605,HD 1605 c,133.0,2.9,53615876858.880005,,0.099000,6.8712306e+25,
HD 1666,HD 1666 b,264.7,4.6,14062199845.8,,0.630000,1.2204975899999998e+26,
HD 1690,HD 1690 b,224.9,10.7,20345310415.2,,0.640000,1.66845627e+26,
HD 2039,HD 2039 b,119.2,11.0,32911531554.000004,,0.710000,1.19392377e+26,
HD 2638,HD 2638 b,356.1,5.5,598391482.8000001,,0.000000,7.972145999999999e+24,
HD 2952,HD 2952 b,283.6,13.4,18400538096.1,,0.130000,2.6004381e+25,
HD 3651,HD 3651 b,267.3,7.7,4413137185.65,,0.645000,4.3277364e+24,
