Name,Distance,Temperature,Mass,Radius,Ecliptic Longitude,Ecliptic Latitude
Kepler-145,1.777826055e+17,6022.0,2.5452416e+28,137748600.0,308.225033,65.155097
HD 24040,1.44040476e+16,5802.0,2.2072017000000006e+28,90441000.0,59.225014,-2.568006
HD 25171,1.7187349e+16,6125.0,2.1475476000000002e+28,85571100.0,351.804607,-77.370151
HD 27631,1.55395852e+16,5737.0,1.8691618e+28,64004400.0,48.182352,-61.810179
HD 28254,1.6878779e+16,5664.0,2.1077782e+28,102963600.0,41.341856,-70.071045
HD 28185,1.21669151e+16,5662.0,2.0282394000000003e+28,71657100.0,62.664634,-31.797171
HD 28678,5.89121844e+16,4972.0,3.0423591000000005e+28,450813600.0,66.851445,-17.10216
HD 30177,1.71811776e+16,5607.0,2.0878935000000003e+28,70961400.0,34.261443,-77.634174
HD 30562,8078362600000000.0,5882.0,2.2270864000000005e+28,112007700.0,69.816968,-27.871351
HD 30669,1.7619347e+16,5400.0,1.8293924000000002e+28,63308700.0,64.981643,-50.317057
HD 30856,4.0638669e+16,4895.0,2.3265099e+28,306108000.0,66.695299,-46.408239
HD 31253,1.79711168e+16,6130.0,3.3803990000000004e+28,121747500.0,73.808356,-10.174573
HD 32518,3.78152535e+16,4580.0,2.2469711e+28,711005400.0,83.673917,46.476591
HD 33142,3.7583826e+16,4978.0,2.8037427e+28,309586500.0,74.07609,-36.704299
HD 33283,2.7802157e+16,5935.0,2.7440886000000003e+28,137052900.0,72.023455,-49.428934
HD 290327,1.74403764e+16,5505.0,1.6703148000000001e+28,66091500.0,79.858298,-25.394997
HD 285968,2922157900000000.0,3679.0,8.948115000000001e+27,31306500.0,71.784595,-3.271002
HD 285507,1.3913421300000002e+16,4503.0,1.6305454e+28,48003300.0,62.711026,-5.468526
HD 330075,1.39967352e+16,5000.0,9.345809e+27,58438800.0,246.627636,-29.135236
HIP 12961,7217452300000000.0,3901.0,1.3720443000000001e+28,45220500.0,30.532818,-37.091152
HIP 14810,1.55982135e+16,5544.0,2.0083547e+28,74439900.0,51.130919,3.169363
GJ 1148,3400441400000000.0,3264.0,6.959645e+27,27828000.0,156.148069,36.838993
HIP 57274,7985791600000000.0,4510.0,5.766563000000001e+27,54264600.0,163.270867,26.692285
Ross 458,3551640700000000.0,3621.0,9.743503e+27,43829100.0,189.019366,17.365544
HIP 67851,2.03532772e+16,4890.0,3.2412061e+28,411854400.0,219.283674,-22.064409
Kepler-97,1.251498206e+17,5779.0,1.8691618e+28,68178600.0,305.116598,70.008479
Kepler-98,1.091936659e+17,5539.0,1.9685853000000001e+28,77222700.0,295.224987,60.03967
Kepler-99,6.46855291e+16,4782.0,1.5708913000000003e+28,50786100.0,314.631417,60.570546
Kepler-100,9.48359038e+16,5825.0,2.1475476000000002e+28,103659300.0,306.307621,62.759587
Kepler-101,2.942029808e+17,5667.0,2.3265099e+28,108529200.0,297.223093,70.544383
Kepler-102,3.33656741e+16,4909.0,1.6106607000000002e+28,52873200.0,292.980199,69.732906
Kepler-103,1.548805401e+17,5845.0,2.1674323000000005e+28,100180800.0,301.395726,61.450572
HD 34445,1.42405055e+16,5879.0,2.2668558e+28,96006600.0,79.098012,-15.686473
HD 37605,1.44565045e+16,5329.0,1.8691618e+28,63308700.0,84.799628,-17.288627
HD 38283,1.1756517e+16,5981.0,2.7242039000000004e+28,103659300.0,282.605671,-82.607611
HD 38529,1.3086453699999998e+16,5541.0,2.8037427e+28,178099200.0,86.376552,-22.228914
HD 38801,2.8289697600000004e+16,5338.0,2.4060487000000003e+28,141227100.0,86.505421,-31.730564
HD 39091,5640659600000000.0,6037.0,2.1674323000000005e+28,76527000.0,273.907651,-76.013933
HD 40979,1.05284084e+16,6165.0,2.8832815e+28,84179700.0,90.861804,20.824518
HD 185269,1.60672399e+16,5923.0,2.5850110000000002e+28,139140000.0,303.56268,49.14681
HD 187085,1.41818772e+16,6117.0,2.3662793000000002e+28,88353900.0,292.27877,-16.436047
HD 189733,6103514600000000.0,5052.0,1.5708913000000003e+28,52177500.0,308.740882,42.176204
HD 190360,4940205700000000.0,5552.0,1.9685853000000001e+28,79309800.0,312.603001,48.867344
HD 190647,1.68355792e+16,5656.0,2.1276629000000004e+28,96006600.0,296.375812,-14.968583
HD 190984,4.59183017e+16,5988.0,1.8095077000000003e+28,106442100.0,288.643419,-43.294638
HD 192263,6063400500000000.0,4976.0,1.3123902000000002e+28,51481800.0,305.593833,18.528986
HD 192699,2.22201257e+16,5041.0,2.7440886000000003e+28,306803700.0,307.52633,23.69679
Kepler-105,1.435868781e+17,5827.0,1.9089312000000002e+28,61917300.0,303.891471,67.62213
Kepler-106,1.388503286e+17,5858.0,1.98847e+28,72352800.0,322.134047,62.304303
Kepler-107,1.62153535e+17,5854.0,2.4657028000000003e+28,100876500.0,320.676866,66.953506
Kepler-109,1.48545598e+17,5952.0,2.0680088000000004e+28,91832400.0,303.68291,61.36083
HD 43197,1.7372491e+16,5508.0,1.9089312000000002e+28,69570000.0,94.93073,-53.278407
HD 43691,2.64783917e+16,6093.0,2.6247804000000003e+28,111312000.0,93.870674,17.718754
HD 44219,1.5551928e+16,5752.0,1.98847e+28,91832400.0,96.003813,-34.058911
HD 45652,1.07660073e+16,5294.0,1.8293924000000002e+28,65395800.0,97.341601,-12.319427
HD 47186,1.1571375e+16,5657.0,1.9089312000000002e+28,75135600.0,102.682579,-50.664494
HD 47536,3.79386815e+16,4424.0,1.8095077000000003e+28,1557672300.0,104.107491,-55.317254
HD 48265,2.80119846e+16,5733.0,2.6048957000000005e+28,132183000.0,110.976181,-71.25329
HD 49674,1.3296281300000002e+16,5602.0,2.0481241e+28,70961400.0,100.200244,17.883351
HD 50499,1.43022195e+16,6102.0,2.4855875e+28,93919500.0,109.763251,-56.465801
HD 50554,9624298300000000.0,5987.0,2.0680088000000004e+28,70961400.0,102.455316,1.395755
HD 195019,1.16361747e+16,5751.0,2.4060487000000003e+28,102963600.0,315.290838,36.561706
HD 196050,1.56599275e+16,5879.0,2.6048957000000005e+28,98789400.0,294.185831,-40.466609
HD 196067,1.23366286e+16,6017.0,2.5651263000000004e+28,120356100.0,286.28505,-54.20218
HD 196885 A,1.0553094e+16,6254.0,2.5452416e+28,91136700.0,315.826762,28.554519
HD 200964,2.24453818e+16,4982.0,2.7639733e+28,342284400.0,320.33223,19.464841
HD 202206,1.42034771e+16,5760.0,2.5253569000000003e+28,71657100.0,314.835349,-4.611588
HD 204313,1.47681602e+16,5783.0,2.0481241e+28,76527000.0,317.494365,-6.452868
HD 204941,8868301800000000.0,5026.0,1.1533126000000001e+28,54264600.0,318.670379,-6.033805
HD 205739,2.86167818e+16,6176.0,2.4259334e+28,92528100.0,316.298725,-16.63897
HD 206610,4.56004746e+16,4842.0,3.0821285000000006e+28,425768400.0,325.598354,5.91844
HD 207832,1.82148871e+16,5726.0,2.0878935000000003e+28,61917300.0,321.388793,-12.35491
HD 208527,9.70390936e+16,4035.0,3.1815520000000007e+28,3555027000.0,339.749827,31.518802
47 UMa,4258266000000000.0,5892.0,2.0481241e+28,85571100.0,149.069855,31.061608
51 Peg,4773577900000000.0,5793.0,2.2270864000000005e+28,83484000.0,354.284094,25.186477
55 Cnc,3884896300000000.0,5196.0,1.8095077000000003e+28,65395800.0,127.732452,10.367085
61 Vir,2625930700000000.0,5577.0,1.8691618e+28,66787200.0,205.0072,-9.297809
70 Vir,5526488700000000.0,5495.0,2.1674323000000005e+28,131487300.0,194.970818,21.340775
75 Cet,2.56575955e+16,4846.0,4.951290300000001e+28,730485000.0,35.325385,-15.1675
81 Cet,3.13291121e+16,4785.0,4.772328e+28,765270000.0,35.893927,-17.849554
91 Aqr,1.36017656e+16,4665.0,2.783858e+28,765270000.0,346.308642,-4.001592
Kepler-167,1.018281e+17,4890.0,1.5311219000000002e+28,50786100.0,305.908834,58.992367
HD 60532,8019734300000000.0,6245.0,2.9827050000000005e+28,178794900.0,120.467053,-43.280028
HD 62509,3190613800000000.0,4946.0,4.175787000000001e+28,578126700.0,113.215639,6.684188
HD 63454,1.16423461e+16,4812.0,8.351574000000001e+27,53568900.0,248.827909,-76.332085
HD 63765,1.00501249e+16,5449.0,1.2925055000000001e+28,57743100.0,149.694599,-72.141285
HD 66141,2.10321312e+16,4323.0,2.1873170000000004e+28,1488798000.0,122.242814,-17.748813
HD 66428,1.64652952e+16,5773.0,2.1475476000000002e+28,76527000.0,123.355885,-21.09863
HD 67087,2.36642333e+16,6330.0,2.7043192000000006e+28,107833500.0,117.328466,11.09012
HD 68988,1.88073415e+16,5932.0,2.5452416e+28,82788300.0,110.900628,40.507943
HD 209458,1.49255309e+16,6091.0,2.4458181e+28,82788300.0,340.354117,28.724212
HD 210277,6575626700000000.0,5538.0,2.0083547e+28,74439900.0,331.645875,3.572957
HD 210702,1.67491796e+16,4951.0,3.2014367000000005e+28,342284400.0,341.23158,25.295532
HD 212771,3.44086407e+16,5003.0,3.1020132000000004e+28,366633900.0,332.144931,-7.031334
Kepler-18,1.353110307e+17,5345.0,1.9288159000000002e+28,77222700.0,318.583117,63.526357
Kepler-19,6.78699715e+16,5544.0,1.8691618e+28,59830200.0,302.357598,59.018409
Kepler-20,8.79054216e+16,5495.0,1.8890465000000001e+28,66787200.0,300.718468,63.902539
Kepler-21,3.35909302e+16,6305.0,2.8037427e+28,132183000.0,298.186326,60.465573
Kepler-75,2.63981635e+17,5200.0,1.8095077000000003e+28,61917300.0,302.752321,57.637488
Kepler-76,2.600843959e+17,6409.0,2.386164e+28,91832400.0,308.914023,59.832284
Kepler-77,1.758849e+17,5520.0,1.8890465000000001e+28,68874300.0,305.213104,65.405192
Kepler-78,3.85157074e+16,5089.0,1.6703148000000001e+28,52177500.0,311.841365,64.477379
Kepler-79,3.244397551e+17,6174.0,2.3265099e+28,90441000.0,321.694773,62.452473
Kepler-80,1.1015949e+17,4540.0,1.4515831000000001e+28,47307600.0,311.913224,59.675963
Kepler-113,8.15704795e+16,4725.0,1.4913525000000003e+28,48003300.0,308.94222,71.956539
Kepler-177,4.620588894e+17,5732.0,1.8293924000000002e+28,91832400.0,299.772129,66.841426
HD 70642,9041101000000000.0,5732.0,2.1475476000000002e+28,68178600.0,144.173307,-56.686289
HD 72659,1.60363829e+16,5932.0,2.8435121000000003e+28,101572200.0,131.372001,-19.647867
HD 73267,1.6943578699999998e+16,5387.0,1.7896230000000003e+28,63308700.0,145.126039,-50.692508
HD 73526,3.00886607e+16,5601.0,2.2668558e+28,106442100.0,150.389714,-56.81327
HD 73534,2.57748521e+16,4917.0,2.3066252000000003e+28,179490600.0,128.804629,-5.277616
HD 75289,8991729800000000.0,6117.0,2.5651263000000004e+28,85571100.0,153.862131,-56.268004
HD 75784,2.64259348e+16,4867.0,2.5054722000000004e+28,236538000.0,131.827592,-4.169167
HD 75898,2.41394311e+16,5963.0,2.5054722000000004e+28,109920600.0,126.641378,14.979535
HD 76700,1.88196843e+16,5644.0,1.9685853000000001e+28,95310900.0,200.873653,-73.135595
HD 77338,1.419422e+16,5341.0,2.7242039000000004e+28,67482900.0,147.355602,-40.379654
HD 79498,1.51261014e+16,5748.0,2.1475476000000002e+28,73048500.0,134.096502,7.091717
HD 80606,2.0550762e+16,5561.0,2.2867405e+28,72352800.0,125.960572,33.29533
HD 81040,1.06364079e+16,5755.0,2.0878935000000003e+28,63308700.0,136.938431,4.836912
HD 81688,2.65123344e+16,4753.0,4.175787000000001e+28,904410000.0,129.183105,29.001381
Kepler-22,5.86283e+16,5518.0,1.9288159000000002e+28,68178600.0,307.668067,68.82447
Kepler-25,7.55873072e+16,6270.0,2.3662793000000002e+28,91136700.0,297.445864,61.351271
Kepler-26,1.044663735e+17,3914.0,1.0737738000000001e+28,35480700.0,298.937927,68.510027
Kepler-27,3.31743607e+17,5400.0,1.2925055000000001e+28,41046300.0,306.988133,61.699891
4 UMa,2.27045806e+16,4415.0,2.4458181e+28,1259912700.0,112.813312,44.028066
6 Lyn,1.68911218e+16,4938.0,2.8633968e+28,361764000.0,94.938691,34.855212
